,matrices,tamanio,autovalores,autovalorMax,autovalorMin,rangoAutovalores
12,"[[16.33208718  9.08891517]
 [ 9.08891517  6.83371484]]","(2, 2)",[21.83780951  1.32799251],21.83780950695536,1.327992512931501,20.509816994023858
13,"[[120.11186018 148.19827272]
 [148.19827272 182.90876224]]","(2, 2)",[2.23883777e-02 3.02998234e+02],302.998234040925,0.022388377707272866,302.97584566321774
14,"[[138.01134759  93.28045008]
 [ 93.28045008  75.1786222 ]]","(2, 2)",[205.02379274   8.16617706],205.0237927376649,8.166177055216906,196.857615682448
15,"[[78.83021752 31.35290454]
 [31.35290454 59.54804073]]","(2, 2)",[101.99088531  36.38737295],101.9908853066043,36.387372950441076,65.60351235616322
16,"[[300.64825755 335.98029058]
 [335.98029058 391.36964369]]","(2, 2)",[  6.98041476 685.03748649],685.0374864881932,6.980414755893548,678.0570717322996
17,"[[265.42608565 211.42659781]
 [211.42659781 377.46342041]]","(2, 2)",[102.72278944 540.16671662],540.1667166204744,102.72278943692987,437.44392718354453
18,"[[351.97325026 244.66777105]
 [244.66777105 170.24055098]]","(2, 2)",[5.22103092e+02 1.10709674e-01],522.1030915669076,0.11070967430660517,521.992381892601
19,"[[398.09547014 401.91854336]
 [401.91854336 407.39149372]]","(2, 2)",[7.98063358e-01 8.04688900e+02],804.6889004983423,0.798063357589001,803.8908371407533
20,"[[240.24951152  73.19969027]
 [ 73.19969027  31.56971056]]","(2, 2)",[263.36552298   8.4536991 ],263.3655229834883,8.453699104666825,254.91182387882145
21,"[[364.82439026 272.12316019]
 [272.12316019 333.37372412]]","(2, 2)",[621.67620298  76.5219114 ],621.6762029844153,76.52191139546602,545.1542915889493
22,"[[493.45475106 468.80447227]
 [468.80447227 449.13280303]]","(2, 2)",[940.62174552   1.96580857],940.6217455209107,1.965808569349747,938.655936951561
23,"[[ 81.33388057 150.68033299]
 [150.68033299 403.10792906]]","(2, 2)",[ 21.79133031 462.65047933],462.6504793270556,21.79133030662564,440.85914902043
24,"[[ 46.15096538 129.77121148]
 [129.77121148 398.48112605]]","(2, 2)",[  3.51315986 441.11893157],441.1189315695541,3.5131598639882213,437.60577170556587
25,"[[437.35412111 553.05142622]
 [553.05142622 699.4975413 ]]","(2, 2)",[5.47611887e-02 1.13679690e+03],1136.7969012225417,0.054761188693305485,1136.7421400338485
26,"[[282.43156772 274.89947083]
 [274.89947083 293.19771881]]","(2, 2)",[ 12.86247185 562.76681467],562.7668146728274,12.862471853995487,549.904342818832
27,"[[ 81.62520285 212.5712452 ]
 [212.5712452  561.77709115]]","(2, 2)",[  1.04090119 642.36139282],642.3613928183299,1.0409011882002233,641.3204916301297
28,"[[182.18228883  93.23988345]
 [ 93.23988345  57.73633055]]","(2, 2)",[232.05469318   7.86392621],232.05469318248288,7.863926205315899,224.190766977167
29,"[[504.8810278  640.53973309]
 [640.53973309 956.18676842]]","(2, 2)",[  51.40919119 1409.65860502],1409.6586050212543,51.409191193906736,1358.2494138273476
30,"[[946.53316603 549.42280974]
 [549.42280974 387.66565696]]","(2, 2)",[1283.49915763   50.69966535],1283.4991576312268,50.69966535299932,1232.7994922782275
31,"[[ 773.06704195  844.13510918]
 [ 844.13510918 1078.56170819]]","(2, 2)",[  67.97066534 1783.6580848 ],1783.6580847951648,67.97066533713166,1715.6874194580332
32,"[[1024.16552249  591.45568154]
 [ 591.45568154  524.0324326 ]]","(2, 2)",[1416.2462349   131.95172019],1416.2462348996532,131.95172018923523,1284.294514710418
33,"[[ 337.47958936  339.23506471]
 [ 339.23506471 1069.30742263]]","(2, 2)",[ 204.42113851 1202.36587348],1202.365873476402,204.42113851263434,997.9447349637676
34,"[[588.71535727 279.26935763]
 [279.26935763 140.24202602]]","(2, 2)",[722.63153098   6.32585231],722.6315309786057,6.3258523116262495,716.3056786669795
35,"[[1060.2913191   832.74954808]
 [ 832.74954808 1079.4115943 ]]","(2, 2)",[ 237.04703425 1902.65587915],1902.6558791539624,237.04703424713261,1665.6088449068297
36,"[[1435.38556401  905.52168611]
 [ 905.52168611  921.86603938]]","(2, 2)",[2119.84580762  237.40579577],2119.8458076210845,237.4057957736817,1882.4400118474027
37,"[[1058.39979416  844.3189773 ]
 [ 844.3189773   769.27222482]]","(2, 2)",[1770.44164995   57.23036903],1770.441649951652,57.230369026283256,1713.2112809253686
38,"[[1467.86904015  909.7797851 ]
 [ 909.7797851   741.53960648]]","(2, 2)",[2084.2898831   125.11876353],2084.2898831008497,125.1187635296883,1959.1711195711614
39,"[[ 569.36925673  403.88389371]
 [ 403.88389371 1011.17107236]]","(2, 2)",[ 329.92310995 1250.61721914],1250.6172191355406,329.92310995150456,920.694109184036
40,"[[ 598.24446738  762.25283025]
 [ 762.25283025 2015.3065401 ]]","(2, 2)",[ 266.08073259 2347.4702749 ],2347.4702748969717,266.08073258585614,2081.3895423111153
41,"[[ 793.29998754  960.75108894]
 [ 960.75108894 1941.88977885]]","(2, 2)",[ 248.28380844 2486.90595795],2486.9059579475615,248.28380843660193,2238.6221495109594
42,"[[500.43833519 439.87786375]
 [439.87786375 911.34662403]]","(2, 2)",[ 220.39897762 1191.3859816 ],1191.3859815987296,220.39897761613156,970.987003982598
43,"[[2346.96950468 2021.97158678]
 [2021.97158678 1742.02462452]]","(2, 2)",[4.08896733e+03 2.67970885e-02],4088.967332112514,0.0267970885415707,4088.9405350239726
44,"[[1439.05042518 1371.45919066]
 [1371.45919066 1307.10109054]]","(2, 2)",[2.74612090e+03 3.06135319e-02],2746.1209021942286,0.030613531888093348,2746.0902886623408
45,"[[790.81609415 318.44448564]
 [318.44448564 296.05830296]]","(2, 2)",[946.67807994 140.19631717],946.6780799390983,140.1963171727937,806.4817627663047
46,"[[2162.47554519  847.32787287]
 [ 847.32787287  405.61021932]]","(2, 2)",[2504.53805531   63.5477092 ],2504.538055309595,63.54770919800427,2440.990346111591
47,"[[ 818.20028255  785.41808898]
 [ 785.41808898 1756.62750058]]","(2, 2)",[ 372.51335851 2202.31442462],2202.314424622064,372.5133585115109,1829.8010661105532
48,"[[2258.19972643 1587.16110214]
 [1587.16110214 1132.24282428]]","(2, 2)",[3379.2714826    11.17106811],3379.2714826005886,11.171068109862063,3368.1004144907265
49,"[[507.96737713 314.62367024]
 [314.62367024 247.58006013]]","(2, 2)",[718.27106457  37.2763727 ],718.2710645679812,37.27637269634525,680.994691871636
50,"[[ 700.51608463  490.36400984]
 [ 490.36400984 1604.73147217]]","(2, 2)",[ 485.64684557 1819.60071122],1819.600711219326,485.6468455745844,1333.9538656447417
51,"[[ 893.14547249  984.40114976]
 [ 984.40114976 1087.75857029]]","(2, 2)",[1.25326072e+00 1.97965078e+03],1979.6507820582156,1.253260716899831,1978.3975213413157
52,"[[4884.41880306 3620.31760748]
 [3620.31760748 2762.11555894]]","(2, 2)",[7595.89787376   50.63648823],7595.897873763799,50.63648822796631,7545.261385535832
53,"[[971.12906827 118.11301212]
 [118.11301212  18.26912759]]","(2, 2)",[985.55162188   3.84657398],985.551621881754,3.8465739760429045,981.7050479057111
54,"[[200.67673738 175.4163481 ]
 [175.4163481  334.82621299]]","(2, 2)",[ 79.94861144 455.55433893],455.5543389331953,79.9486114387552,375.6057274944401
55,"[[ 467.57749884  889.59309009]
 [ 889.59309009 2066.285068  ]]","(2, 2)",[  70.96207861 2462.90048823],2462.9004882333015,70.96207860781624,2391.9384096254853
56,"[[1746.06897199 1889.32182558]
 [1889.32182558 2686.73205209]]","(2, 2)",[ 269.4159928  4163.38503129],4163.385031285506,269.4159927992355,3893.96903848627
57,"[[3160.15709127  420.04974285]
 [ 420.04974285 3256.21385582]]","(2, 2)",[2785.39887019 3630.9720769 ],3630.9720768971342,2785.398870194076,845.5732067030581
58,"[[2566.90375675 2398.77712202]
 [2398.77712202 3555.80630063]]","(2, 2)",[ 612.14827109 5510.56178628],5510.561786281522,612.1482710946557,4898.413515186866
59,"[[3561.6998829   301.03627769]
 [ 301.03627769  221.89212513]]","(2, 2)",[3588.61709217  194.97491586],3588.6170921713674,194.9749158609745,3393.642176310393
60,"[[4805.26180261 5621.45689777]
 [5621.45689777 6579.16933806]]","(2, 2)",[1.21700773e+00 1.13832141e+04],11383.21413293054,1.2170077305481755,11381.997125199992
61,"[[6332.87114459 1303.17594548]
 [1303.17594548  411.24177743]]","(2, 2)",[6606.97394611  137.13897591],6606.973946106356,137.13897591347046,6469.8349701928855
62,"[[ 165.96728567  574.25397753]
 [ 574.25397753 4030.85731756]]","(2, 2)",[  82.44817238 4114.37643085],4114.376430853059,82.44817238408268,4031.9282584689763
63,"[[1804.90942302 2272.13856057]
 [2272.13856057 3025.30120988]]","(2, 2)",[  62.45730479 4767.75332811],4767.753328106993,62.457304787792054,4705.296023319201
64,"[[3522.77750137 2917.04355639]
 [2917.04355639 2443.28362743]]","(2, 2)",[5949.58915405   16.47197475],5949.5891540470975,16.471974748141747,5933.117179298955
65,"[[1681.00112687 2396.92056229]
 [2396.92056229 3797.73195637]]","(2, 2)",[ 119.18228606 5359.55079718],5359.550797178472,119.18228605933518,5240.368511119137
66,"[[5052.40062517 4526.62073909]
 [4526.62073909 4395.18973202]]","(2, 2)",[9262.32763469  185.26272249],9262.327634688318,185.2627224947937,9077.064912193524
67,"[[5200.94786191 3975.77572317]
 [3975.77572317 3202.92932987]]","(2, 2)",[8301.30587811  102.57131366],8301.305878113435,102.57131366211661,8198.734564451319
68,"[[2249.44144474 3342.9119817 ]
 [3342.9119817  5013.30102941]]","(2, 2)",[  14.08074994 7248.66172421],7248.6617242092,14.080749937177643,7234.580974272022
69,"[[4176.78442196 4255.05827656]
 [4255.05827656 4509.2607256 ]]","(2, 2)",[  84.71820936 8601.3269382 ],8601.326938200564,84.71820936373297,8516.60872883683
70,"[[3039.23796895 3100.36268608]
 [3100.36268608 3186.21433195]]","(2, 2)",[  11.49263811 6213.95966279],6213.959662789659,11.49263811453784,6202.467024675121
71,"[[3108.834205   2368.36217124]
 [2368.36217124 1977.80788715]]","(2, 2)",[4978.26344931  108.37864284],4978.263449310852,108.3786428387059,4869.884806472146
72,"[[1005.69948526  413.08854917]
 [ 413.08854917 1589.64213229]]","(2, 2)",[ 791.815688   1803.52592955],1803.525929546816,791.815687999696,1011.7102415471201
73,"[[1944.67462912 1967.65847813]
 [1967.65847813 2012.16308296]]","(2, 2)",[  10.47105201 3946.36666008],3946.3666600766974,10.47105200546298,3935.895608071234
74,"[[6828.12346379 7397.99567752]
 [7397.99567752 8881.2058378 ]]","(2, 2)",[  385.78743576 15323.54186583],15323.541865831197,385.787435758597,14937.7544300726
75,"[[9704.56534984 3466.99754889]
 [3466.99754889 2524.50719245]]","(2, 2)",[11105.36594064  1123.70660165],11105.365940638681,1123.7066016535464,9981.659338985135
76,"[[2664.83596732 4203.7504314 ]
 [4203.7504314  8469.63095551]]","(2, 2)",[  458.86494463 10675.6019782 ],10675.60197820157,458.86494463362305,10216.737033567948
77,"[[5386.49254709 4993.88052567]
 [4993.88052567 5014.77982771]]","(2, 2)",[10197.97400778   203.29836701],10197.974007783207,203.29836700858414,9994.675640774622
78,"[[6118.46468873 4548.48953744]
 [4548.48953744 3381.65880839]]","(2, 2)",[9.49993371e+03 1.89784091e-01],9499.933713033093,0.18978409091596404,9499.743928942178
79,"[[5683.75656138 5542.67046365]
 [5542.67046365 6807.26508898]]","(2, 2)",[  674.44596094 11816.57568941],11816.575689409094,674.4459609423184,11142.129728466774
80,"[[2607.15004836 1931.16839767]
 [1931.16839767 1471.14966755]]","(2, 2)",[4052.11672218   26.18299373],4052.1167221798255,26.182993727593384,4025.933728452232
81,"[[6813.78954063 3817.82906723]
 [3817.82906723 3398.64699801]]","(2, 2)",[9288.51649317  923.92004547],9288.516493167299,923.9200454697784,8364.59644769752
82,"[[5379.74812045 1630.82455208]
 [1630.82455208  626.28554348]]","(2, 2)",[5885.45335986  120.58030408],5885.453359858115,120.58030407679001,5764.873055781325
83,"[[2282.73094206  402.32097114]
 [ 402.32097114  192.20869499]]","(2, 2)",[2357.48454173  117.45509532],2357.484541728667,117.45509532099399,2240.029446407673
84,"[[1415.49819638  870.5103559 ]
 [ 870.5103559   669.56788326]]","(2, 2)",[1989.57648536   95.48959428],1989.5764853579058,95.4895942769731,1894.0868910809327
85,"[[7065.71863771 6897.25810485]
 [6897.25810485 6841.54391959]]","(2, 2)",[13851.80008935    55.46246795],13851.800089352779,55.46246795064144,13796.337621402137
86,"[[5271.86895293 3148.19789864]
 [3148.19789864 3616.78912713]]","(2, 2)",[7699.4745539  1189.18352616],7699.474553898433,1189.1835261611886,6510.291027737245
87,"[[2819.07733376 1322.8082973 ]
 [1322.8082973   652.8349544 ]]","(2, 2)",[3445.62666876   26.28561941],3445.6266687561447,26.285619410531808,3419.341049345613
88,"[[3519.86479086  748.6575189 ]
 [ 748.6575189  2122.70702394]]","(2, 2)",[3845.24905958 1797.32275522],3845.249059575295,1797.3227552234073,2047.926304351888
89,"[[3035.15707941 3685.64356469]
 [3685.64356469 7852.76695519]]","(2, 2)",[1040.97329205 9846.95074256],9846.950742560599,1040.973292046977,8805.977450513623
90,"[[3952.09132342 3110.00128873]
 [3110.00128873 2489.69063102]]","(2, 2)",[6415.6933126    26.08864184],6415.693312603587,26.088641838270632,6389.604670765317
91,"[[7337.84453663 4826.6430902 ]
 [4826.6430902  3224.38612662]]","(2, 2)",[10527.6969371     34.53372615],10527.696937099627,34.53372615057833,10493.16321094905
92,"[[2985.90770233 2598.62645405]
 [2598.62645405 3162.85459268]]","(2, 2)",[ 474.24903583 5674.51325919],5674.513259185307,474.2490358276573,5200.26422335765
93,"[[4173.72379569 2364.75732668]
 [2364.75732668 2097.40378267]]","(2, 2)",[5718.16972373  552.95785462],5718.169723734025,552.9578546197299,5165.211869114295
94,"[[1967.23119691 3713.91784273]
 [3713.91784273 8214.11532889]]","(2, 2)",[ 237.93423405 9943.41229175],9943.412291747056,237.93423405255817,9705.478057694498
95,"[[1314.9562782  1800.2035019 ]
 [1800.2035019  3292.60740768]]","(2, 2)",[ 249.88100655 4357.68267933],4357.682679327678,249.88100655118797,4107.80167277649
96,"[[12627.72148594  8196.31372054]
 [ 8196.31372054  5545.31206263]]","(2, 2)",[18015.10509582   157.92845276],18015.105095819585,157.92845275548825,17857.176643064096
97,"[[2161.64024897 3730.81576462]
 [3730.81576462 7873.16084012]]","(2, 2)",[ 319.06539949 9715.73568961],9715.735689605675,319.0653994904478,9396.670290115228
98,"[[3685.13973966 4463.39144896]
 [4463.39144896 7312.74929564]]","(2, 2)",[  681.08700634 10316.80202896],10316.802028964425,681.0870063372431,9635.71502262718
99,"[[ 4711.00774112  6936.53472503]
 [ 6936.53472503 10340.72004433]]","(2, 2)",[   39.9485081  15011.77927736],15011.77927735724,39.94850809627678,14971.830769260963
100,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","(3, 3)",[0. 0. 0.],0.0,0.0,0.0
101,"[[0.46423518 0.60947142 0.24050882]
 [0.60947142 1.71847072 1.32467862]
 [0.24050882 1.32467862 1.26885083]]","(3, 3)",[2.9907615  0.44944623 0.011349  ],2.9907614987290585,0.011348999759111416,2.979412498969947
102,"[[4.33597253 3.65198698 1.78085212]
 [3.65198698 5.28599226 0.95124086]
 [1.78085212 0.95124086 0.88387808]]","(3, 3)",[8.94064779 1.55399766 0.01119741],8.94064779293849,0.011197409501257484,8.929450383437233
103,"[[ 2.93125483  5.42427184  3.47745947]
 [ 5.42427184 13.05195231 10.91346586]
 [ 3.47745947 10.91346586 11.06094028]]","(3, 3)",[24.85864967  0.04684653  2.13865122],24.858649667861005,0.0468465310738994,24.811803136787105
104,"[[18.37275539 11.96309166  7.62720438]
 [11.96309166 12.92575937  5.90902594]
 [ 7.62720438  5.90902594 10.44148205]]","(3, 3)",[32.19670807  3.37422798  6.16906076],32.19670806969636,3.374227976178364,28.822480093518
105,"[[23.5383765  14.86178481 21.98770316]
 [14.86178481 12.03936647 14.22217871]
 [21.98770316 14.22217871 23.9077515 ]]","(3, 3)",[55.45287672  1.45338515  2.57923259],55.452876716532316,1.4533851483515443,53.99949156818077
106,"[[70.970243   47.37962281 11.0240213 ]
 [47.37962281 55.27296013 22.15726486]
 [11.0240213  22.15726486 19.29971066]]","(3, 3)",[116.51715998  24.03817907   4.98757475],116.51715997784208,4.987574747176764,111.52958523066532
107,"[[43.64767683 57.1521613  47.89349509]
 [57.1521613  88.73154272 74.20088147]
 [47.89349509 74.20088147 80.25313867]]","(3, 3)",[195.35997224   4.3852715   12.88711448],195.35997224310339,4.385271502761106,190.97470074034229
108,"[[98.72104998 42.57753673 37.35438973]
 [42.57753673 55.99702378 26.5845911 ]
 [37.35438973 26.5845911  21.03941198]]","(3, 3)",[142.271252    30.01472693   3.47150681],142.2712519980261,3.4715068115240135,138.79974518650207
109,"[[42.18936219 24.98216652 38.56750617]
 [24.98216652 57.09623581 42.66207935]
 [38.56750617 42.66207935 49.88470135]]","(3, 3)",[121.60865152  24.34368089   3.21796694],121.60865152305331,3.217966940104142,118.39068458294916
110,"[[ 93.7996114   68.34863743  66.79839978]
 [ 68.34863743 122.31412616  44.12583668]
 [ 66.79839978  44.12583668  48.91977303]]","(3, 3)",[213.94119729   0.67134567  50.42096762],213.94119729394748,0.6713456663863272,213.26985162756117
111,"[[172.14446112 106.44641488 156.86029504]
 [106.44641488 143.99924982  99.31602646]
 [156.86029504  99.31602646 145.61346968]]","(3, 3)",[399.31001262   1.44271388  61.00445413],399.31001261926787,1.4427138755334494,397.8672987437344
112,"[[226.53799483  93.48656822 196.98933854]
 [ 93.48656822  43.46005222  81.66566453]
 [196.98933854  81.66566453 193.671053  ]]","(3, 3)",[446.03145258  13.54922622   4.08842126],446.03145257842226,4.088421255515616,441.9430313229066
113,"[[211.56383355 112.39091801 197.95440597]
 [112.39091801  86.09123316 118.52697187]
 [197.95440597 118.52697187 209.27155818]]","(3, 3)",[476.6399299   20.33435615   9.95233884],476.63992989666565,9.952338842977976,466.6875910536877
114,"[[299.87087997 291.45359012 139.76958578]
 [291.45359012 285.21480111 138.41187688]
 [139.76958578 138.41187688  71.23770385]]","(3, 3)",[6.50843146e+02 4.83986078e-01 4.99625260e+00],650.8431462511787,0.483986077579416,650.3591601735993
115,"[[ 99.98244488 106.79587214  46.34171251]
 [106.79587214 249.49164017  89.55739874]
 [ 46.34171251  89.55739874  77.05008261]]","(3, 3)",[343.28806634  44.38778382  38.84831751],343.28806633985005,38.84831750818244,304.4397488316676
116,"[[ 90.43549211 185.87948065 145.32179194]
 [185.87948065 385.03635204 288.01470855]
 [145.32179194 288.01470855 274.10759744]]","(3, 3)",[7.12338107e+02 2.41370705e-02 3.72171973e+01],712.3381072233227,0.024137070513793865,712.3139701528089
117,"[[231.98959604 254.04554845  54.61640957]
 [254.04554845 304.56420604  85.10546088]
 [ 54.61640957  85.10546088  95.62003377]]","(3, 3)",[547.10397625   8.54535417  76.52450543],547.1039762488075,8.545354172642101,538.5586220761654
118,"[[467.20893011 421.13885029 446.82617798]
 [421.13885029 466.92986373 487.04686807]
 [446.82617798 487.04686807 510.30439924]]","(3, 3)",[1.38632179e+03 5.72879317e+01 8.33475995e-01],1386.3217853691394,0.8334759946628783,1385.4883093744766
119,"[[180.87339442  60.06524863 182.90602139]
 [ 60.06524863  78.23532488 128.70400739]
 [182.90602139 128.70400739 423.78385666]]","(3, 3)",[563.35249795  83.97843119  35.56164682],563.352497954785,35.56164682006952,527.7908511347155
120,"[[176.54749651 144.12904112 304.87433362]
 [144.12904112 117.90831139 250.23960098]
 [304.87433362 250.23960098 595.87050811]]","(3, 3)",[8.67348870e+02 2.28421931e+01 1.35253007e-01],867.348869930272,0.13525300729646234,867.2136169229756
121,"[[586.33119022 450.03666175 520.36771849]
 [450.03666175 379.07653358 431.77392773]
 [520.36771849 431.77392773 606.55701812]]","(3, 3)",[1472.41930641   80.67584466   18.86959086],1472.4193064091667,18.869590858898665,1453.549715550268
122,"[[470.59059312 368.27452865 506.99816749]
 [368.27452865 328.57547331 412.93282247]
 [506.99816749 412.93282247 571.85826541]]","(3, 3)",[1334.93666255   10.7725528    25.31511649],1334.9366625528273,10.772552800312603,1324.1641097525148
123,"[[408.65752873 268.8955482  286.58721388]
 [268.8955482  202.06618877 210.9606638 ]
 [286.58721388 210.9606638  308.30394896]]","(3, 3)",[834.08832391  69.44433229  15.49501026],834.0883239119569,15.495010258267152,818.5933136536897
124,"[[634.52842091 539.47996085 640.30809828]
 [539.47996085 568.06965939 693.87502251]
 [640.30809828 693.87502251 851.00852083]]","(3, 3)",[1.95036447e+03 1.03027220e+02 2.14908464e-01],1950.3644722375116,0.21490846375117842,1950.1495637737603
125,"[[192.26139928  77.0123493  313.49606521]
 [ 77.0123493  265.77186055 435.93734824]
 [313.49606521 435.93734824 921.74309763]]","(3, 3)",[1.23480170e+03 1.44838980e+02 1.35681212e-01],1234.8016966275236,0.1356812121040827,1234.6660154154195
126,"[[870.15668984 403.08407147 553.241999  ]
 [403.08407147 309.42709871 312.57346416]
 [553.241999   312.57346416 409.78029927]]","(3, 3)",[1463.63967388  102.89079758   22.83361636],1463.6396738816718,22.833616364285824,1440.806057517386
127,"[[ 632.22762643  385.42647689  824.73721027]
 [ 385.42647689  265.51066127  543.63092441]
 [ 824.73721027  543.63092441 1330.87178789]]","(3, 3)",[2116.87446938   91.83091497   19.90469123],2116.8744693842636,19.904691234402595,2096.969778149861
128,"[[1197.30444507  843.24120879 1121.16067038]
 [ 843.24120879  602.955486    792.29862736]
 [1121.16067038  792.29862736 1230.11053117]]","(3, 3)",[2913.68786681    6.04898579  110.63360964],2913.6878668140885,6.048985793629427,2907.638881020459
129,"[[ 428.58800554   71.2296344   716.87018834]
 [  71.2296344   816.08261558  103.62966306]
 [ 716.87018834  103.62966306 1601.40678566]]","(3, 3)",[1954.70037752   88.27880107  803.09822818],1954.700377523757,88.27880107283912,1866.4215764509179
130,"[[ 465.71722485  400.50380341  573.36420655]
 [ 400.50380341  346.46222796  517.72530393]
 [ 573.36420655  517.72530393 1445.5224069 ]]","(3, 3)",[1.96331514e+03 2.93658571e+02 7.28145184e-01],1963.3151432018633,0.7281451841202345,1962.586998017743
131,"[[1144.98546624  403.45463766  930.96704629]
 [ 403.45463766  155.14645577  276.68196273]
 [ 930.96704629  276.68196273  967.81258985]]","(3, 3)",[2.11175078e+03 1.55846973e+02 3.46763039e-01],2111.75077585822,0.3467630385740037,2111.404012819646
132,"[[993.096426   693.70935461 725.48026684]
 [693.70935461 632.56327039 534.96020485]
 [725.48026684 534.96020485 603.36098687]]","(3, 3)",[2079.7150138    46.95746698  102.34820248],2079.715013803287,46.95746697586384,2032.7575468274233
133,"[[ 854.38030984  322.71201161  927.45444717]
 [ 322.71201161  203.19937068  522.36661034]
 [ 927.45444717  522.36661034 1402.20154309]]","(3, 3)",[2275.94017866  178.48189664    5.3591483 ],2275.940178661771,5.359148299625306,2270.5810303621456
134,"[[1903.02988644 1360.30900431 1214.55772378]
 [1360.30900431 1164.07672414  705.03670831]
 [1214.55772378  705.03670831 1055.12320025]]","(3, 3)",[3683.88757868   34.619889    403.72234315],3683.887578679702,34.61988900464802,3649.267689675054
135,"[[1045.98524711  152.10728071  922.28012922]
 [ 152.10728071  243.25746092  208.94171048]
 [ 922.28012922  208.94171048 1171.03981682]]","(3, 3)",[2068.96078079  162.37186576  228.9498783 ],2068.9607807906395,162.3718657608205,1906.588915029819
136,"[[ 653.50849811 1061.2904353   977.08787398]
 [1061.2904353  2295.41929537 2019.3589585 ]
 [ 977.08787398 2019.3589585  1944.5572371 ]]","(3, 3)",[4665.63791574  135.00722443   92.83989041],4665.637915736528,92.83989041296581,4572.798025323562
137,"[[1614.64406894 1542.23455913 1051.04504208]
 [1542.23455913 2453.78346531 1834.59820991]
 [1051.04504208 1834.59820991 1423.11396167]]","(3, 3)",[4901.64187462  569.8731441    20.02647719],4901.641874619055,20.02647718849201,4881.615397430563
138,"[[ 775.13063799  902.52511525  964.70329133]
 [ 902.52511525 1164.46635972 1082.54122806]
 [ 964.70329133 1082.54122806 1945.73117974]]","(3, 3)",[3368.70461252   40.07156947  476.55199546],3368.7046125243805,40.071569471515836,3328.6330430528647
139,"[[ 91.80804065 160.21502665 144.50957928]
 [160.21502665 664.40412352 555.67398105]
 [144.50957928 555.67398105 466.82782042]]","(3, 3)",[1.17300372e+03 5.00294280e+01 6.84007994e-03],1173.0037164672274,0.006840079941339689,1172.996876387286
140,"[[ 769.22776358 1399.96383102 1030.95296946]
 [1399.96383102 2773.8823806  1935.55164819]
 [1030.95296946 1935.55164819 2157.77357499]]","(3, 3)",[5117.8189421    48.30975822  534.75501885],5117.818942100113,48.309758221692945,5069.50918387842
141,"[[1627.97716993 1440.37048015 1114.81244786]
 [1440.37048015 2566.43080951 1850.59748908]
 [1114.81244786 1850.59748908 1358.30724234]]","(3, 3)",[4916.95268284  624.25082022   11.51171871],4916.9526828444605,11.511718710485336,4905.440964133975
142,"[[ 186.6633135   603.61140841  739.54957366]
 [ 603.61140841 2889.43154125 2835.11929822]
 [ 739.54957366 2835.11929822 3200.61289937]]","(3, 3)",[6039.29576618    7.64597145  229.76601649],6039.295766178784,7.64597145316185,6031.649794725622
143,"[[ 436.61324575  307.95049688  910.97539296]
 [ 307.95049688  704.29102468 1087.68366204]
 [ 910.97539296 1087.68366204 3146.59956394]]","(3, 3)",[3832.69343541  155.60193423  299.20846473],3832.6934354148484,155.6019342323216,3677.091501182527
144,"[[2821.78987505 1413.70796424 2732.86789428]
 [1413.70796424 1853.95215114 1647.63765317]
 [2732.86789428 1647.63765317 3557.33715554]]","(3, 3)",[6884.01788628  431.33030686  917.73098859],6884.017886277366,431.330306860464,6452.687579416903
